date,open,high,low,close,change_pct
1993-01-04,10.1,10.4,9.9,10.1,
1993-01-05,16.1,16.8,16.0,16.5,63.3663
1993-01-06,22.0,22.5,21.3,21.8,32.1212
1993-01-07,25.3,25.9,25.0,25.8,18.3486
1993-01-08,31.8,32.9,31.4,32.4,25.5814
1993-01-11,41.2,44.2,40.8,43.6,34.5679
1993-01-12,51.1,52.6,49.1,50.1,14.9083
1993-01-13,52.5,54.7,51.7,54.2,8.1836
1993-01-14,59.2,61.2,57.7,59.9,10.5166
1993-01-15,61.9,62.9,59.3,60.9,1.6694
1993-01-18,63.0,65.0,61.9,63.6,4.4335
1993-01-19,66.8,68.2,63.4,64.4,1.2579
1993-01-20,63.0,66.7,62.6,65.6,1.8634
1993-01-21,65.7,67.5,65.1,66.6,1.5244
1993-01-22,66.5,68.7,65.9,67.4,1.2012
1993-01-27,69.4,72.5,68.8,71.3,5.7864
1993-01-28,73.2,75.0,70.8,72.2,1.2623
1993-01-29,72.9,76.3,72.3,75.3,4.2936
1993-02-01,82.5,89.0,81.7,87.8,16.6003
1993-02-02,94.2,98.2,93.1,96.8,10.2506
1993-02-03,101.1,103.2,97.3,100.2,3.5124
1993-02-04,104.9,109.2,103.2,108.3,8.0838
1993-02-05,114.8,117.5,109.5,112.1,3.5088
1993-02-08,117.0,123.2,115.2,121.6,8.4746
1993-02-09,128.1,133.6,125.1,129.8,6.7434
1993-02-10,136.0,139.1,128.5,131.2,1.0786
1993-02-11,134.4,138.4,125.4,128.8,-1.8293
1993-02-12,130.6,135.1,124.3,132.7,3.028
1993-02-15,138.8,145.6,136.9,142.1,7.0836
1993-02-16,143.5,145.7,137.6,139.4,-1.9001
1993-02-17,138.3,142.7,134.9,139.6,0.1435
1993-02-18,140.7,144.6,136.9,140.6,0.7163
1993-02-19,149.8,155.1,143.7,152.1,8.1792
1993-02-22,156.2,160.6,149.4,152.0,-0.0657
1993-02-23,150.5,154.4,143.5,146.6,-3.5526
1993-02-24,149.6,152.1,135.2,141.1,-3.7517
1993-02-25,143.4,157.0,140.7,155.0,9.8512
1993-02-26,157.9,160.9,147.9,150.5,-2.9032
1993-03-01,148.4,151.2,137.1,139.8,-7.1096
1993-03-02,136.4,142.4,131.5,136.7,-2.2175
1993-03-03,131.8,134.3,127.3,128.5,-5.9985
1993-03-04,127.5,130.4,118.3,123.3,-4.0467
1993-03-05,123.1,127.0,111.6,117.9,-4.3796
1993-03-08,131.6,143.2,127.0,130.6,10.7718
1993-03-09,127.4,129.8,119.8,123.5,-5.4364
1993-03-10,121.6,130.1,118.1,129.6,4.9393
1993-03-11,132.8,136.9,130.3,135.4,4.4753
1993-03-12,136.6,138.6,131.7,134.9,-0.3693
1993-03-15,133.8,134.8,123.7,125.8,-6.7457
1993-03-16,120.8,125.2,119.0,124.1,-1.3514
1993-03-17,120.0,120.8,115.0,116.3,-6.2853
1993-03-18,111.4,113.7,109.3,111.3,-4.2992
1993-03-19,107.6,109.5,105.4,106.8,-4.0431
1993-03-22,102.0,103.6,94.5,95.9,-10.206
1993-03-23,94.2,96.5,89.8,91.5,-4.5881
1993-03-24,88.3,90.4,85.7,86.6,-5.3552
1993-03-25,85.4,89.2,82.7,87.7,1.2702
1993-03-26,91.4,96.1,89.1,94.4,7.6397
1993-03-29,92.1,93.4,87.3,89.1,-5.6144
1993-03-30,86.0,88.1,84.0,86.2,-3.2548
1993-03-31,85.3,86.3,82.4,84.2,-2.3202
1993-04-01,81.6,83.3,80.5,82.6,-1.9002
1993-04-02,81.1,82.5,79.8,80.5,-2.5424
1993-04-05,78.8,80.1,77.1,78.9,-1.9876
1993-04-06,79.8,86.8,79.0,85.2,7.9848
1993-04-07,94.9,103.4,93.2,98.9,16.0798
1993-04-08,109.6,119.8,108.2,117.1,18.4024
1993-04-09,128.0,133.0,121.8,124.7,6.4902
1993-04-12,130.7,136.2,125.6,129.6,3.9294
1993-04-13,133.2,141.0,131.0,139.4,7.5617
1993-04-14,144.5,148.0,138.1,140.4,0.7174
1993-04-15,140.3,144.6,136.2,140.2,-0.1425
1993-04-16,140.9,143.9,133.4,136.0,-2.9957
1993-04-19,133.3,138.4,130.5,134.9,-0.8088
1993-04-20,132.9,136.2,131.0,133.4,-1.1119
1993-04-21,128.4,129.7,126.0,127.3,-4.5727
1993-04-22,123.1,126.6,121.7,125.4,-1.4925
1993-04-23,125.8,127.5,122.5,123.9,-1.1962
1993-04-26,130.8,135.3,127.8,133.4,7.6675
1993-04-27,137.8,141.2,134.3,137.0,2.6987
1993-04-28,136.2,139.2,133.7,136.7,-0.219
1993-04-29,134.5,135.9,130.0,131.1,-4.0966
1993-04-30,128.1,131.3,126.6,129.4,-1.2967
1993-05-03,128.1,130.0,124.3,126.5,-2.2411
1993-05-04,128.8,131.9,118.5,121.3,-4.1107
1993-05-05,118.6,122.8,115.2,118.9,-1.9786
1993-05-06,120.6,121.3,109.9,113.5,-4.5416
1993-05-07,114.1,118.2,111.6,116.3,2.467
1993-05-10,115.1,117.2,106.8,108.6,-6.6208
1993-05-11,105.6,108.0,102.8,106.5,-1.9337
1993-05-12,104.8,107.9,103.7,106.0,-0.4695
1993-05-13,104.4,107.9,103.7,107.3,1.2264
1993-05-14,106.1,107.5,102.9,104.7,-2.4231
1993-05-17,99.6,101.3,95.0,98.1,-6.3037
1993-05-18,95.1,97.5,92.9,95.1,-3.0581
1993-05-19,90.5,91.6,89.0,90.6,-4.7319
1993-05-20,88.4,89.9,87.4,88.7,-2.0971
1993-05-21,86.2,86.5,83.1,84.2,-5.0733
1993-05-24,85.2,86.1,78.2,79.2,-5.9382
1993-05-25,78.4,80.5,75.8,78.8,-0.5051
1993-05-26,77.6,78.9,75.9,76.6,-2.7919
1993-05-27,75.0,75.7,71.8,73.3,-4.3081
1993-05-28,71.7,73.2,70.8,72.1,-1.6371
1993-05-31,71.3,73.0,69.0,70.6,-2.0804
1993-06-01,69.5,70.8,65.2,69.2,-1.983
1993-06-02,77.2,86.4,73.9,85.5,23.5549
1993-06-03,96.4,102.5,86.0,92.7,8.4211
1993-06-04,92.7,94.8,88.7,90.6,-2.2654
1993-06-07,91.3,96.7,88.5,95.0,4.8565
1993-06-08,101.2,104.7,97.3,99.7,4.9474
1993-06-09,97.2,98.9,93.9,95.6,-4.1123
1993-06-10,93.1,94.5,89.9,91.0,-4.8117
1993-06-11,87.7,89.4,85.1,87.7,-3.6264
1993-06-14,89.1,90.2,83.3,85.3,-2.7366
1993-06-15,81.4,83.4,79.7,82.2,-3.6342
1993-06-16,78.5,79.6,77.0,78.0,-5.1095
1993-06-17,74.5,75.4,73.3,73.8,-5.3846
1993-06-18,71.6,74.0,71.0,73.5,-0.4065
1993-06-21,71.0,72.3,68.5,69.5,-5.4422
1993-06-22,66.2,67.4,65.4,66.3,-4.6043
1993-06-23,63.2,64.1,62.6,63.5,-4.2232
1993-06-24,61.5,62.3,60.3,61.4,-3.3071
1993-06-25,60.5,63.3,59.3,60.6,-1.3029
1993-06-28,60.8,62.2,59.4,61.1,0.8251
1993-06-29,69.6,72.5,68.2,71.4,16.8576
1993-06-30,73.5,75.1,70.3,71.0,-0.5602
1993-07-01,70.4,71.4,67.8,69.3,-2.3944
1993-07-02,68.6,70.0,66.9,68.6,-1.0101
1993-07-05,68.8,70.5,65.8,66.9,-2.4781
1993-07-06,65.8,66.2,62.6,63.2,-5.5306
1993-07-07,60.9,63.2,59.9,62.3,-1.4241
1993-07-08,59.6,60.5,58.7,59.5,-4.4944
1993-07-09,57.9,58.1,55.4,56.1,-5.7143
1993-07-12,56.5,58.2,54.8,56.6,0.8913
1993-07-13,56.6,58.0,55.3,56.7,0.1767
1993-07-14,56.1,56.7,53.2,53.6,-5.4674
1993-07-15,51.7,52.6,50.6,51.3,-4.291
1993-07-16,50.4,51.1,49.5,50.1,-2.3392
1993-07-19,49.1,49.6,47.1,47.7,-4.7904
1993-07-20,48.1,48.6,45.1,47.1,-1.2579
1993-07-21,47.2,48.0,45.4,46.5,-1.2739
